layer,group,StartBreak,EndBreak,Red,Green,Blue
prob,0,0,0.076923077,0,0,255
prob,1,0.076923077,0.153846154,48,76,255
prob,2,0.153846154,0.230769231,59,131,255
prob,3,0.230769231,0.307692308,51,194,255
prob,4,0.307692308,0.384615385,0,255,255
prob,5,0.384615385,0.461538462,128,255,198
prob,6,0.461538462,0.538461538,182,255,143
prob,7,0.538461538,0.615384615,221,255,87
prob,8,0.615384615,0.692307692,255,255,0
prob,9,0.692307692,0.769230769,255,200,0
prob,10,0.769230769,0.846153846,255,145,0
prob,11,0.846153846,0.923076923,255,89,0
prob,12,0.923076923,1,255,0,0
bin,0,0,0.99999999,10,10,10
bin,1,0.99999999,1,0,0,0
res,0,0,0.076923077,0,0,255
res,1,0.076923077,0.153846154,48,76,255
res,2,0.153846154,0.230769231,59,131,255
res,3,0.230769231,0.307692308,51,194,255
res,4,0.307692308,0.384615385,0,255,255
res,5,0.384615385,0.461538462,128,255,198
res,6,0.461538462,0.538461538,182,255,143
res,7,0.538461538,0.615384615,221,255,87
res,8,0.615384615,0.692307692,255,255,0
res,9,0.692307692,0.769230769,255,200,0
res,10,0.769230769,0.846153846,255,145,0
res,11,0.846153846,0.923076923,255,89,0
res,12,0.923076923,1,255,0,0
